id,source,target,weight
51443,1049978412,712976695,0.894427
51444,1049978412,99019387,1
51445,2463270592,733803430007955456,1
51446,2859241221,445908382,1
51447,723251650174017536,927896378,0.57735
51448,2824903451,713026548014694400,1
51449,3262844619,773798108,1
51450,4721574708,776635543614582784,1
51451,365819232,715135364600606720,1
51452,2831617950,390208861,0.5
51453,28615971,715135364600606720,1
51454,241640955,3081581745,1
51455,1471100606,927896378,1
51456,1374528007,2573023238,1
51457,2278717689,712976695,0.894427
51458,1969420729,4547154629,1
51459,3262844619,775498945330028544,1
51460,4352293774,698558387408207872,1
51461,477191708,80965639,1
51462,3403356761,713063391900729344,1
51463,3191320373,397467224,1
51464,459561926,8366982,1
51465,909562165,93020729,1
51466,304517257,96601448,1
51467,698558387408207872,724706594,1
51468,317838653,34705680,1
51469,28948878,75392146,1
51470,1049978412,3404728337,0.904534
51471,221963057,758491329894748160,0.707107
51472,245943898,701846710381891584,1
51473,249885589,3302596910,1
51474,18018468,713063391900729344,1
51475,241583780,939190178,1
51476,2892368815,4419316115,1
51477,2882182229,754230919633010688,0.707107
51478,2691309440,341568813,1
51479,48670786,83957063,1
51480,723251650174017536,793937395066486784,0.408248
51481,237977063,351231296,1
51482,66212407,842151288,1
51483,18018468,4541933713,1
51484,179912146,701846710381891584,1
51485,27741488,713026548014694400,1
51486,3063952985,3302596910,1
51487,759146049760100352,861445200,1
51488,2211027127,303076383,0.707107
51489,2945460816,3081581745,1
51490,3064931987,766735508865032192,1
51491,1668265830,341568813,1
51492,459561926,773798108,1
51493,25377285,29049770,1
51494,1057363958,3385908647,1
51495,218993498,713026548014694400,1
51496,48670786,842151288,1
51497,519553325,698558387408207872,1
51498,65632975,775498945330028544,0.707107
51499,787002854338854917,920798731,0.707107
51500,2607354599,60526973,0.707107
51501,2957347960,31288110,0.707107
51502,333565814,4619070748,1
51503,2411128484,519553325,1
51504,1255475023,190878483,1
51505,1302283879,351231296,0.707107
51506,25677623,521754789,1
51507,61863751,62211890,1
51508,179912146,26686224,1
51509,1886957647,3377478999,1
51510,62211890,713063391900729344,1
51511,1180622503,15502903,1
51512,1669932314,2955544497,0.707107
51513,1896595753,2316941846,0.707107
51514,102397536,723251650174017536,0.57735
51515,179912146,80965639,1
51516,1549759548,26071765,1
51517,31360081,776635543614582784,1
51518,477191708,61863751,1
51519,3413198241,4169033472,1
51520,194591543,4619070748,1
51521,2831617950,445908382,0.707107
51522,3403356761,61863751,1
51523,29049770,40227122,1
51524,618055731,780646765829562369,0.843274
51525,1668265830,2749640440,1
51526,62211890,861445200,1
51527,134552828,618055731,0.894427
51528,2573023238,766735508865032192,1
51529,21091983,701846710381891584,0.707107
51530,2316941846,34705680,1
51531,1228600868,274667122,1
51532,2607354599,2792672981,1
51533,2415685429,28615971,1
51534,737760101193256961,939190178,1
51535,30920319,710599403,0.707107
51536,163001527,786374824948105216,0.707107
51537,1971211453,1977169441,1
51538,40227122,93020729,1
51539,156254256,2863716447,1
51540,4169033472,66212407,1
51541,25677623,2863716447,1
51542,2824903451,28615971,1
51543,397467224,4559222536,1
51544,780655483002630144,8366982,1
51545,28611453,904863313,1
51546,1104128448,793937395066486784,0.707107
51547,1228600868,754230919633010688,1
51548,2278717689,255988147,1
51549,44959884,4559222536,1
51550,1255475023,1887375954,1
51551,4496549793,701164616093712387,1
51552,1374528007,51073819,1
