id,source,target,weight
149020,735491152464470017,786985567,0.072169
149021,259383450,715681775717060608,0.125
149022,1471100606,2853872685,0.111804
149023,28838168,713063391900729344,0.0625
149024,1263752238,24393879,0.072169
149025,19669334,2428776326,0.06455
149026,140566783,798272956401119237,0.176777
149027,2800236995,40625668,0.25
149028,15502903,2730391538,0.111804
149029,2892484043,36638704,0.088388
149030,26235861,3222937730,0.0625
149031,25377285,791406684807827456,0.102062
149032,74265783,900259286,0.25
149033,1040408522,575925999,0.066815
149034,1471100606,95220220,0.176777
149035,27238516,441214858,0.125
149036,29049770,632873556,0.088388
149037,40278588,937019478,0.045644
149038,4097161,54077506,0.176777
149039,44959884,710599403,0.25
149040,11886822,775541978691997696,0.09934
149041,4269534859,632873556,0.055902
149042,17927511,4269534859,0.055902
149043,33178426,441214858,0.088388
149044,4269534859,803772858560352256,0.06455
149045,280243372,785317194695577605,0.126773
149046,459561926,874859443,0.176777
149047,2788398650,456874126,0.088388
149048,33178426,498840555,0.158114
149049,1265666203,2928019319,0.144338
149050,2902080735,4097161,0.102062
149051,445908382,90507896,0.102062
149052,4830951183,745319037677211652,0.176777
149053,2204132642,280243372,0.126773
149054,302226644,946620907,0.125
149055,22803981,83578612,0.102062
149056,103435491,771483365937676291,0.125
149057,250704226,4289485636,0.079057
149058,19845776,4250521660,0.125
149059,546239230,788748702483611648,0.088388
149060,1235761177,200090056,0.102062
149061,13957012,804740200870055936,0.25
149063,1589798510,291846447,0.111804
149064,16548855,802962751865884672,0.166667
149065,152191413,788748702483611648,0.072169
149066,2848705919,78583942,0.079057
149067,737760101193256961,797794080180895744,0.144338
149068,221963057,257134732,0.077152
149070,1389790676,2712335673,0.125
149071,451819108,747143836837814276,0.072169
149072,43748620,795594061084246016,0.066815
149073,3931306817,47080825,0.079057
149074,618055731,770309357875716096,0.098058
149075,2788001111,54077506,0.25
149076,4834537559,514982892,0.176777
149077,4531076896,541328418,0.06455
149078,2992942526,780252826299666432,0.25
149079,735491152464470017,742664931217178624,0.125
149069,618055731,937019478,0.426754
149080,16561729,775136513751326721,0.102062
149081,27238516,500843514,0.204124
149082,1338726187,527949804,0.0533
149083,40278588,61176427,0.072169
149084,2446943442,824450408,0.079057
149085,746236470684311552,937019478,0.045644
149086,207046341,351231296,0.176777
149087,1338726187,95502178,0.176777
149088,25377285,800495996828422144,0.058926
149089,179130402,795594061084246016,0.125
149090,40227122,796211419700166657,0.051031
149091,738509183952113664,991855608,0.176777
149092,29049770,32682040,0.125
149093,1555034425,791406684807827456,0.0625
149094,728221452927827969,73699803,0.237171
149095,1535438408,3081581745,0.176777
149096,115110145,4776169636,0.111804
149097,270921976,500843514,0.117851
149098,1215948218,719939067136385024,0.25
149099,153283018,484198340,0.188982
149100,65632975,798190900744568833,0.072169
149101,265245636,3055864294,0.079057
149102,33178426,786985567,0.102062
149103,119161370,2788001111,0.144338
149104,1407958339,2892484043,0.125
149105,2641856689,2867485894,0.0533
149106,221963057,803779755350827008,0.125
149107,2800236995,3183768157,0.125
149108,292236047,785317194695577605,0.133631
149109,17927511,3093907031,0.088388
149110,2178473005,441364324,0.25
149111,514982892,618055731,0.098058
149112,798190900744568833,904349491,0.088388
149113,1324655137,737760101193256961,0.25
149114,1367543593,754230919633010688,0.102062
149115,2446943442,4704039667,0.079057
149116,12585092,442077506,0.176777
149117,4352293774,930084780,0.144338
149118,26235861,794786220005957632,0.088388
149119,15755071,1859935914,0.125
149120,1308083862,484198340,0.25
149121,758491329894748160,805117810343079936,0.144338
149122,13957012,88718119,0.25
149123,2882182229,88718119,0.176777
149124,742664931217178624,892794858,0.144338
149125,15755071,93327360,0.176777
149126,24393879,459561926,0.088388
149127,328440716,77509795,0.083333
149128,34705680,723251650174017536,0.045644
149129,303999844,781442824583741440,0.125
149130,103435491,904863313,0.176777
149131,153283018,4721574708,0.133631
149132,24784028,742664931217178624,0.176777
149133,1465205899,937019478,0.111804
149134,1171556562,85386747,0.144338
149135,73699803,794792561533538304,0.125
149136,1555034425,66393,0.088388
149137,2557331785,794786220005957632,0.072169
149138,2972747969,794786220005957632,0.125
149139,713063391900729344,781442824583741440,0.044194
149140,25677623,4319786381,0.102062
149141,441214858,9002382,0.176777
149142,1180622503,909562165,0.03371
149143,3249313867,794786220005957632,0.088388
149144,2539037971,712976695,0.102062
149145,207046341,313775431,0.176777
149146,451819108,708458185494040576,0.102062
149147,713063391900729344,723251650174017536,0.027951
149148,241583780,594937448,0.176777
149149,449600949,4776169636,0.074536
149150,246151786,42307792,0.144338
